Id,Population
3577STDY6068506,Hdr
3577STDY6068507,Jwf
3577STDY6068508,Amr
3577STDY6068509,Mhw
3577STDY6068510,Haj
3577STDY6068511,Dhm
3577STDY6068512,San
3577STDY6068513,Hdr
3577STDY6068514,Hdr
3577STDY6068515,Mrb
3577STDY6068516,Amr
3577STDY6068517,Mhw
3577STDY6068518,Haj
3577STDY6068519,Dhm
3577STDY6068520,San
3577STDY6068521,Hdr
3577STDY6068522,Hdr
3577STDY6068523,Mrb
3577STDY6068524,Amr
3577STDY6068525,Mhw
3577STDY6068526,Shb
3577STDY6068527,Dhm
3577STDY6068528,San
3577STDY6068529,Hdr
3577STDY6068530,Hdr
3577STDY6068531,Mrb
3577STDY6068532,Amr
3577STDY6068533,Mhw
3577STDY6068534,Shb
3577STDY6068535,Dhm
3577STDY6068536,San
3577STDY6068537,Hdr
3577STDY6068538,Hdr
3577STDY6068539,Mrb
3577STDY6068540,Amr
3577STDY6068541,Haj
3577STDY6068542,Shb
3577STDY6068543,Dhm
3577STDY6068545,Hdr
3577STDY6068546,Hdr
3577STDY6068547,Mrb
3577STDY6068548,Amr
3577STDY6068549,Haj
3577STDY6068550,Shb
3577STDY6068551,Dhm
3577STDY6068552,Dhm
3577STDY6068553,Rsa
3577STDY6068554,Ibb
3577STDY6068555,Tiz
3577STDY6068556,Tiz
3577STDY6068560,Rsa
3577STDY6068561,Rsa
3577STDY6068562,Ibb
3577STDY6068563,Tiz
3577STDY6068564,Tiz
3577STDY6068568,Rsa
3577STDY6068569,Rsa
3577STDY6068570,Ibb
3577STDY6068571,Tiz
3577STDY6068572,Tiz
3577STDY6068576,Rsa
3577STDY6068577,Rsa
3577STDY6068578,Ibb
3577STDY6068579,Tiz
3577STDY6068580,Tiz
3577STDY6068584,Rsa
3577STDY6068585,Rsa
3577STDY6068586,Ibb
3577STDY6068587,Tiz
3577STDY6068588,Tiz
3577STDY6068592,Rsa
3577STDY6068593,Rsa
3577STDY6068594,Ibb
3577STDY6068595,Tiz
3577STDY6068596,Tiz
3577STDY6068600,Rsa
3577STDY6068601,Rsa
3577STDY6068602,Ibb
3577STDY6068603,Tiz
3577STDY6068604,Tiz
3577STDY6068608,Rsa
3577STDY6068609,Rsa
3577STDY6068610,Ibb
3577STDY6068611,Tiz
3577STDY6068612,Tiz
3577STDY6068616,Rsa
3577STDY6068617,Rsa
3577STDY6068618,Ibb
3577STDY6068619,Tiz
3577STDY6068620,Tiz
3577STDY6068624,Rsa
3577STDY6068625,Rsa
3577STDY6068626,Tiz
3577STDY6068627,Tiz
3577STDY6068628,Mhw
3577STDY6068632,Rsa
3577STDY6068633,Ibb
3577STDY6068634,Tiz
3577STDY6068635,Tiz
3577STDY6068640,Rsa
3577STDY6068641,Ibb
3577STDY6068642,Tiz
3577STDY6068643,Tiz
MAL-005,Malawi_Yao
MAL-009,Malawi_Yao
MAL-011,Malawi_Chewa
MAL-012,Malawi_Chewa
MAL-014,Malawi_Chewa
MAL-015,Malawi_Yao
MAL-018,Malawi_Chewa
MAL-019,Malawi_Chewa
MAL-023,Malawi_Chewa
MAL-024,Malawi_Yao
MAL-025,Malawi_Ngoni
MAL-026,Malawi_Ngoni
MAL-028,Malawi_Chewa
MAL-032,Malawi_Yao
MAL-043,Malawi_Chewa
MAL-045,Malawi_Chewa
MAL-047,Malawi_Tumbuka
MAL-050,Malawi_Yao
MAL-058,Malawi_Tumbuka
MAL-059,Malawi_Tumbuka
MAL-065,Malawi_Tumbuka
MAL-073,Malawi_Tumbuka
MAL-074,Malawi_Ngoni
MAL-079,Malawi_Tumbuka
MAL-097,Malawi_Tumbuka
MAL-099,Malawi_Tumbuka
MAL-101,Malawi_Yao
MAL-112,Malawi_Chewa
MAL-122,Malawi_Chewa
MAL-124,Malawi_Ngoni
MAL-136,Malawi_Yao
MAL-196,Malawi_Yao
MAL-197,Malawi_Tumbuka
MAL-206,Malawi_Tumbuka
ABA-035,Karachai
ABA-048,Karachai
ABA-052,Karachai
ABA-056,Karachai
ABA-065,Karachai
ABA-069,Karachai
ABA-078,Karachai
ABA-085,Karachai
ABA-086,Karachai
ABA-091,Karachai
ABA-099,Karachai
ABA-100,Karachai
Adg-185,Adygei
Adg-192,Adygei
Adg-194,Adygei
Adg-222,Adygei
Adg-224,Adygei
Adg-226,Adygei
Adg-227,Adygei
Adg-238,Adygei
ALT-082,Altaian_Chelkan
ALT-090,Altaian_Chelkan
ALT-092,Altaian_Chelkan
ALT-093,Altaian_Chelkan
ALT-116,Tubalar
ALT-117,Tubalar
ALT-165,Tubalar
ALT-167,Altaian_Chelkan
ALT-168,Altaian_Chelkan
ALT-741,Altaian
ALT-743,Altaian
ALT-744,Altaian
ALT-746,Altaian
ALT-753,Altaian
ALT-756,Altaian
ALT-760,Altaian
ALT-771,Altaian
ALT-774,Altaian
ALT-775,Altaian
ALT-776,Altaian
ALT-845,Tubalar
ALT-846,Tubalar
ALT-875,Altaian
ALT-876,Altaian
ALT-900,Altaian
ALT-916,Altaian
ALT-918,Altaian
ALT-935,Altaian
ALT-952,Altaian_Chelkan
ALT-966,Altaian_Chelkan
AMU-031,Nivh
AMU-039,Nivh
AMU-042,Nivh
AMU-049,Evenk_FarEast
AMU-052,Nivh
AMU-064,Nivh
AMU-066,Nivh
AMU-072,Nivh
AMU-074,Nivh
AMU-139,Evenk_FarEast
AMU-156,Negidal
AMU-160,Negidal
AMU-164,Nivh
AMU-547,Nanai
AMU-549,Nanai
AMU-554,Evenk_FarEast
AMU-555,Nanai
AMU-559,Nanai
AMU-561,Nanai
AMU-596,Nivh
AMU-601,Nanai
AMU-610,Nanai
AMU-628,Nanai
AMU-631,Nanai
AMU-636,Nanai
AMU-672,Evenk_FarEast
AMU-686,Evenk_FarEast
AMU-696,Negidal
ARK-59,Armenian_Hemsheni
ARK-72,Armenian_Hemsheni
ARK-76,Armenian_Hemsheni
ARK-78,Armenian_Hemsheni
ARK-82,Armenian_Hemsheni
ARK-84,Armenian_Hemsheni
ARK-88,Armenian_Hemsheni
ARK-89,Armenian_Hemsheni
AZR-0853,Azeri
AZR-0860,Azeri
AZR-0864,Azeri
AZR-0865,Azeri
AZR-0866,Azeri
AZR-0868,Azeri
AZR-0869,Azeri
AZR-0870,Azeri
AZR-1010,Azeri
AZR-1012,Azeri
AZR-1013,Azeri
AZR-1017,Azeri
AZR-1018,Azeri
AZR-1037,Azeri
AZR-1039,Azeri
AZR-1054,Azeri
AZR-1058,Azeri
BAS-005,Bashkir
BAS-006,Bashkir
BAS-008,Bashkir
BAS-014,Bashkir
BAS-017,Bashkir
BAS-021,Bashkir
BAS-029,Bashkir
BAS-031,Bashkir
BAS-033,Bashkir
BAS-034,Bashkir
BAS-042,Bashkir
BAS-045,Bashkir
BAS-046,Bashkir
BAS-060,Bashkir
BAS-062,Bashkir
BAS-091,Bashkir
BAS-094,Bashkir
BAS-096,Bashkir
BAS-105,Bashkir
BAS-111,Bashkir
BAS-120,Bashkir
BAS-121,Bashkir
BAS-125,Bashkir
BAS-135,Bashkir
BAS-150,Bashkir
BAS-153,Bashkir
BAS-156,Bashkir
BAS-164,Bashkir
BAS-600,Bashkir
BAS-622,Bashkir
BAS-652,Bashkir
BAS-655,Bashkir
BAS-661,Bashkir
BAS-663,Bashkir
BAS-669,Bashkir
BAS-670,Bashkir
BAS-671,Bashkir
BAS-672,Bashkir
BAS-683,Bashkir
BAS-811,Bashkir
BAS-813,Bashkir
BAS-822,Bashkir
BAS-825,Bashkir
BAS-831,Bashkir
BAS-833,Bashkir
BAS-834,Bashkir
BAS-849,Bashkir
BAS-1392,Bashkir
BAS-1393,Bashkir
BAS-1394,Bashkir
BAS-1396,Bashkir
BAS-1398,Bashkir
BAS-1400,Bashkir
BUR-003,Buryat
BUR-008,Buryat
BUR-009,Buryat
BUR-042,Buryat
BUR-047,Buryat
BUR-050,Buryat
BUR-051,Buryat
BUR-074,Buryat
BUR-087,Buryat
BUR-101,Khamnegan
BUR-103,Khamnegan
BUR-124,Buryat
BUR-144,Buryat
BUR-155,Khamnegan
BUR-158,Buryat
BUR-160,Buryat
BUR-205,Buryat
BUR-207,Buryat
BUR-215,Buryat
BUR-217,Buryat
BUR-224,Buryat
BUR-238,Khamnegan
BUR-255,Buryat
BUR-258,Buryat
BUR-358,Buryat
BUR-382,Buryat
BUR-415,Buryat
BUR-500,Khamnegan
BUR-531,Buryat
BUR-562,Buryat
BUR-568,Buryat
BUR-578,Buryat
BUR-587,Buryat
BUR-594,Buryat
BUR-599,Buryat
BUR-605,Buryat
BUR-635,Buryat
BUR-645,Buryat
BUR-684,Buryat
BUR-694,Buryat
BUR-706,Buryat
BUR-707,Buryat
CHRK-544,Circassian
DAG-090,Tabasaran
DAG-122,Tabasaran
DAG-123,Tabasaran
DAG-124,Tabasaran
DAG-127,Tabasaran
DAG-146,Darginian
DAG-147,Tabasaran
DAG-152,Tabasaran
DAG-160,Tabasaran
DAG-161,Darginian
DAG-165,Darginian
DAG-178,Tabasaran
DAG-180,Kubachinian
DAG-183,Tabasaran
DAG-200,Kubachinian
DAG-205,Kubachinian
DAG-206,Darginian
DAG-210,Kubachinian
DAG-211,Kubachinian
DAG-213,Kubachinian
DAG-225,Darginian
DAG-231,Darginian
DAG-232,Darginian
DAG-325,Lak
DAG-335,Lak
DAG-336,Lak
DAG-344,Lak
DAG-350,Darginian
DAG-371,Lak
DAG-372,Lak
DAG-376,Lak
DAG-388,Lak
DAG-390,Lak
DAG-400,Lak
DAG-436,Avar_outlier1
DAG-448,Avar
DAG-461,Avar
DAG-474,Avar
DAG-477,Avar
DAG-485,Avar
DAG-492,Avar
DAG-506,Avar
DAG-515,Avar
DAG-529,Avar_outlier2
DAG06-260,Kaitag
DAG06-261,Kaitag
DAG06-262,Kaitag
DAG06-578,Kaitag
DAG06-786,Kaitag
DAG06-824,Kaitag
DAG06-826,Kaitag
DAG06-830,Kaitag
EV-004,Evenk_Transbaikal
EV-023,Evenk_Transbaikal
EV-040,Evenk_Transbaikal
EV-050,Evenk_Transbaikal
EV-052,Evenk_Transbaikal
EV-082,Evenk_Transbaikal
EV-110,Evenk_Transbaikal
EV-114,Khamnegan
EV-132,Khamnegan
EV-139,Khamnegan
EV-147,Evenk_Transbaikal
EV-148,Khamnegan
EV-175,Khamnegan
EZI-001,Ezid
EZI-010,Ezid
EZI-012,Ezid
EZI-013,Ezid
EZI-020,Ezid
EZI-029,Ezid
EZI-060,Ezid
EZI-074,Ezid
GAG-183,Gagauz
GAG-187,Gagauz
GAG-188,Gagauz
GAG-189,Gagauz
GAG-196,Gagauz
GAG-215,Gagauz
GAG-220,Gagauz
GAG-221,Gagauz
GAG-226,Gagauz
GEO-002,Georgian
GEO-005,Georgian
GEO-010,Georgian
GEO-015,Georgian
GEO-020,Georgian
GEO-028,Georgian
GEO-031,Georgian
GEO-032,Georgian
GEO-039,Georgian
GEO-051,Georgian
GEO-061,Georgian
GEO-082,Georgian
GEO001,Georgian
ING-1154,Ingushian
ING-1167,Ingushian
ING-1168,Ingushian
ING-1169,Ingushian
ING-1176,Ingushian
ING-1177,Ingushian
ING-1178,Ingushian
ING-1179,Ingushian
ING-1206,Ingushian
ING-1330,Ingushian
Kab-5,Kabardinian
Kab-10,Kabardinian
Kab-13,Kabardinian
Kab-16,Kabardinian
Kab-18,Kabardinian
Kab-24,Kabardinian
Kab-26,Kabardinian
Kab-30,Kabardinian
KAR-005,Karelian
KAR-008,Karelian
KAR-009,Karelian
KAR-030,Karelian
KAR-034,Karelian
KAR-046,Karelian
KAR-050,Veps
KAR-056,Veps
KAR-060,Veps
KAR-067,Veps
KAR-087,Veps
KAR-092,Karelian
KAR-105,Karelian
KAR-110,Karelian
KAR-111,Karelian
KAR-131,Karelian
KAR-157,Karelian
KAR-165,Karelian
KAR-167,Karelian
KAR-173,Karelian
KAR-183,Veps
KAR-184,Veps
KAR-187,Veps
KAR-190,Veps
KAR-193,Veps
KCHE-1032,Abazin
KCHE-1283,Abazin
KCHE-1294,Abazin
KCHE-1330,Abazin
KCHE-1333,Abazin
KCHE-1337,Circassian
KCHE-1436,Circassian
KCHE-1444,Circassian
KCHE-1491,Circassian
KCHE-1497,Circassian
KCHE-1526,Circassian
KCHE-1527,Circassian
KCHE-1530,Circassian
KCHE-1552,Abazin
KCHE-1559,Abazin
KCHE-1560,Abazin
KHS-001,Shor_Khakassia
Khs-005,Khakass
Khs-006,Khakass
Khs-010,Khakass
Khs-011,Khakass
KHS-012,Shor_Khakassia
KHS-034,Shor_Khakassia
KHS-035,Shor_Khakassia
KHS-036,Shor_Khakassia
KHS-049,Shor_Khakassia
Khs-119,Khakass
Khs-168,Khakass
Khs-190,Khakass
Khs-301,Khakass
Khs-302,Khakass
Khs-303,Khakass
Khs-306,Khakass
Khs-308,Khakass
Khs-309,Khakass
Khs-402,Khakass_Kachin
Khs-403,Khakass_Kachin
Khs-421,Khakass_Kachin
Khs-422,Khakass
Khs-424,Khakass_Kachin
Khs-425,Khakass
Khs-491,Khakass_Kachin
Khs-493,Khakass_Kachin
Khs-513,Khakass_Kachin
Khs-527,Khakass_Kachin
KKA-004,Karakalpak
KKA-007,Karakalpak
KKA-009,Karakalpak
KKA-011,Karakalpak
KKA-012,Karakalpak
KKA-014,Karakalpak
KKA-016,Karakalpak
KKA-019,Karakalpak
KKA-023,Karakalpak
KKA-027,Karakalpak
KKA-040,Karakalpak
KKA-042,Karakalpak
KKA-046,Karakalpak
KKA-051,Karakalpak
KRD-5,Kurd
KRD-8,Kurd
KRD-14,Kurd
KRD-31,Kurd
KRD-40,Kurd
KRD-43,Kurd
KRD-45,Kurd
KRD-49,Kurd
KZH-1593,Kazakh
KZH-1611,Kazakh
KZH-1614,Kazakh
KZH-1629,Kazakh
KZH-1633,Kazakh
KZH-1650,Kazakh
KZH-1680,Kazakh
KZH-1689,Kazakh
KZH-1696,Kazakh
KZH-1708,Kazakh
KZH-1718,Kazakh
KZH-1722,Kazakh
KZH-1724,Kazakh
KZH-1725,Kazakh
KZH-1730,Kazakh
KZH-1735,Kazakh
KZH-1750,Kazakh
KZH-1752,Kazakh
LPGH-139,Kabardinian
lpgh-303,Adygei
MOE-001,Mordovian
MOE-002,Mordovian
MOE-010,Mordovian
MOE-014,Mordovian
MOE-015,Mordovian
MOE-020,Mordovian
MOE-025,Mordovian
MOE-036,Mordovian
MOE-043,Mordovian
MOE-045,Mordovian
MOE-433,Mordovian
MOE-445,Mordovian
MOE-450,Mordovian
MOE-451,Mordovian
MOE-452,Mordovian
MOE-455,Mordovian
MOE-475,Mordovian
MOE-485,Mordovian
MOE-491,Mordovian
MOE-492,Mordovian
MOE-495,Mordovian
MOE-497,Mordovian
MOL-005,Moldavian
MOL-008,Moldavian
MOL-015,Moldavian
MOL-024,Moldavian
MOL-058,Moldavian
MOL-064,Moldavian
MOL-065,Moldavian
MOL-066,Moldavian
MOL-067,Moldavian
MOL-069,Moldavian
MON-0006,Mongol
MON-0023,Mongol
MON-0045,Mongol
MON-0078,Mongol
MON-0089,Mongol
MON-0165,Mongol
MON-0209,Mongol
MON-0263,Mongol
MON-0266,Mongol
MON-0281,Mongol
MON-0292,Mongol
MON-0299,Mongol
MON-0309,Mongol
MON-0312,Mongol
MON-0328,Mongol
MON-0344,Mongol
MON-0345,Mongol
MON-0348,Mongol
MON-0352,Mongol
MON-0400,Mongol
MON-0413,Mongol
MON-0423,Mongol
MON-0425,Mongol
MON-0426,Mongol
MON-0441,Mongol
MON-0444,Mongol
MON-0453,Mongol
MON-0455,Mongol
MON-0465,Mongol
MON-0483,Mongol
MON-0500,Mongol
MON-232,Mongol
MON-558,Mongol
MON-611,Mongol
NOG-15,Nogai_Astrakhan
NOG-17,Nogai_Astrakhan
NOG-18,Nogai_Astrakhan
NOG-19,Nogai_Astrakhan
NOG-21,Nogai_Astrakhan
NOG-42,Nogai_Astrakhan
NOG-125,Nogai_Stavropol
NOG-127,Nogai_Stavropol
NOG-129,Nogai_Stavropol
NOG-130,Nogai_Stavropol
NOG-133,Nogai_Stavropol
NOG-217,Nogai_Stavropol
NOG-220,Nogai_Stavropol
NOG-224,Nogai_Stavropol
NOG-263,Nogai_Stavropol
NOG-357,Nogai_Stavropol
OCE-058,Ossetian
OCE-155,Ossetian
OCE-160,Ossetian
OCE-161,Ossetian
OCE-195,Ossetian
OCE-224,Ossetian
Rakr-203,Russian_Archangelsk_Krasnoborsky
Rakr-205,Russian_Archangelsk_Krasnoborsky
Rakr-237,Russian_Archangelsk_Krasnoborsky
Rakr-248,Russian_Archangelsk_Krasnoborsky
Rakr-341,Russian_Archangelsk_Krasnoborsky
Rakr-345,Russian_Archangelsk_Krasnoborsky
Rakrlsh-002,Russian_Archangelsk_Leshukonsky
Rakrlsh-140,Russian_Archangelsk_Leshukonsky
Rakrlsh-143,Russian_Archangelsk_Leshukonsky
Rakrlsh-144,Russian_Archangelsk_Leshukonsky
Rakrlsh-149,Russian_Archangelsk_Leshukonsky
Rbgp-200,Russian
Rbgp-201,Russian
Rbgp-203,Russian
Rbgp-205,Russian
Rkbo-12,Russian
Rkbo-16,Russian
Rkbo-44,Russian
Rkbo-58,Russian
Rksh-402,Russian
Rksh-405,Russian
Rksh-407,Russian
Rksh-412,Russian
Rkuch-03,Russian
Rkuch-05,Russian
Rkuch-53,Russian
Rkuch-58,Russian
Rorl-102,Russian
Rorl-110,Russian
Rorl-114,Russian
Rorl-155,Russian
RPin-114,Russian_Archangelsk_Pinezhsky
RPin-123,Russian_Archangelsk_Pinezhsky
RPin-143,Russian_Archangelsk_Pinezhsky
RPin-145,Russian_Archangelsk_Pinezhsky
RPin-151,Russian_Archangelsk_Pinezhsky
Rps-002,Russian
Rps-004,Russian
Rps-006,Russian
Rps-012,Russian
Rps-090,Russian
Rps-091,Russian
Rps-098,Russian
Rrzm-08,Russian
Rrzm-10,Russian
Rrzm-13,Russian
Rrzm-16,Russian
Rrzm-83,Russian
Rrzs-3,Russian
Rrzs-7,Russian
Rrzs-11,Russian
Rrzs-32,Russian
Rrzs-58,Russian
Rrzs-66,Russian
Rrzs-88,Russian
Rsm-103,Russian
Rsm-109,Russian
Rsm-166,Russian
Rsm-171,Russian
Rsm-176,Russian
Rsm-179,Russian
Rsm-181,Russian
RYAR-173,Russian
RYAR-223,Russian
RYAR-232,Russian
Shap-55,Adygei
Shap-156,Adygei
Shap-225,Adygei
Shor-202,Shor_Mountain
Shor-204,Shor_Mountain
Shor-209,Shor_Mountain
Shor-262,Shor_Mountain
Shor-263,Shor_Mountain
Shor-292,Shor_Mountain
Shor-293,Shor_Mountain
STA-003,Tatar_Siberian
STA-004,Tatar_Siberian
STA-006,Tatar_Siberian
STA-112,Tatar_Siberian
STA-116,Tatar_Siberian
STA-120,Tatar_Siberian
STA-122,Tatar_Siberian
STA-126,Tatar_Siberian
STA-128,Tatar_Siberian
STA-205,Tatar_Siberian
STA-211,Tatar_Siberian
STA-212,Tatar_Siberian
STA-237,Tatar_Siberian
STA-265,Tatar_Siberian
STA-297,Tatar_Siberian
STA-300,Tatar_Siberian
STA-304,Tatar_Siberian
STA-306,Tatar_Siberian
STA-309,Tatar_Siberian
STA-357,Tatar_Siberian_Zabolotniye
STA-362,Tatar_Siberian_Zabolotniye
STA-366,Tatar_Siberian_Zabolotniye
STA-434,Tatar_Siberian_Zabolotniye
STA-435,Tatar_Siberian_Zabolotniye
TJ-0080,Tajik
TJ-0086,Tajik
TJ-0091,Tajik
TJ-011,Kyrgyz_Tajikistan
TJ-032,Kyrgyz_Tajikistan
TJ-038,Kyrgyz_Tajikistan
TJ-098,Kyrgyz_Tajikistan
TJ-0108,Tajik
TJ-0155,Tajik
TJ-0484,Tajik
TJ-0486,Tajik
TJ-0495,Tajik
TJ-0500,Tajik
TJ-0517,Tajik
TJ-0555,Tajik
TJ-0573,Tajik
TJ-0574,Tajik
TJ-0686,Tajik
TJ-0688,Tajik
TJ-0796,Tajik
TJ-0798,Tajik
TJ-0807,Tajik
TJ-0982,Tajik
TJ-0984,Tajik
TJ-0986,Tajik
TJ-1032,Tajik
TJ-1041,Tajik
TTR-086,Tatar_Kazan
TTR-094,Tatar_Kazan
TTR-097,Tatar_Kazan
TTR-201,Tatar_Kazan
TTR-217,Tatar_Kazan
TTR-241,Tatar_Mishar
TTR-244,Tatar_Kazan
TTR-245,Tatar_Kazan
TTR-249,Tatar_Kazan
TTR-250,Tatar_Kazan
TTR-271,Tatar_Mishar
TTR-272,Tatar_Mishar
TTR-330,Tatar_Kazan
TTR-356,Tatar_Mishar
TTR-359,Tatar_Mishar
TTR-362,Tatar_Mishar
TTR-436,Tatar_Mishar
TTR-460,Tatar_Mishar
TTR-462,Tatar_Mishar
TTR-464,Tatar_Mishar
Ttr-473,Chuvash
Ttr-474,Chuvash
Ttr-481,Chuvash
TTR-493,Tatar_Kazan
TTR-501,Tatar_Kazan
Ttr-507,Chuvash
TTR-514,Tatar_Kazan
Ttr-568,Chuvash
Ttr-569,Chuvash
TUV-004,Tuvinian
TUV-008,Tuvinian
TUV-024,Tuvinian
TUV-044,Tuvinian
TUV-059,Tuvinian
TUV-062,Tuvinian
TUV-071,Tuvinian
TUV-096,Tuvinian
TUV-121,Todzin
TUV-195,Todzin
TUV-199,Todzin
TUV-349,Tuvinian
TUV-392,Tuvinian
UDM-004,Udmurt
UDM-033,Udmurt
UDM-034,Udmurt
UDM-138,Udmurt
UDM-229,Udmurt
UDM-254,Udmurt
UDM-255,Udmurt
UDM-256,Udmurt
UDM-287,Besermyan
UDM-309,Besermyan
UDM-318,Udmurt
UDM-335,Udmurt
UDM-349,Besermyan
UDM-357,Besermyan
UDM-362,Besermyan
UDM-366,Besermyan
UKR-1283,Ukrainian
UKR-1291,Ukrainian
UKR-1292,Ukrainian
UKR-1377,Ukrainian
UKR-1399,Ukrainian_North
UKR-1903,Ukrainian_North
UKR-1909,Ukrainian_North
UKR-1913,Ukrainian_North
UKR-1951,Ukrainian_North
UKR-1978,Ukrainian_North
UKR-1992,Ukrainian_North
UKR-2021,Ukrainian_North
UZB-229,Uzbek
UZB-232,Uzbek
UZB-234,Uzbek
UZB-235,Uzbek
UZB-236,Uzbek
UZB-237,Uzbek
UZB-238,Uzbek
UZB-244,Uzbek
UZB-246,Uzbek
UZB-301,Uzbek
UZB-302,Uzbek
UZB-303,Uzbek
UZB-304,Uzbek
UZB-305,Uzbek
UZB-306,Uzbek
UZB-307,Uzbek
UZB-308,Uzbek
UZB-400,Dungan
UZB-401,Dungan
UZB-410,Dungan
UZB-411,Dungan
UZB-412,Dungan
UZB-416,Dungan
UZB-417,Dungan
UZB-420,Dungan
UZB-421,Dungan
UZB-422,Dungan
UZB-425,Dungan
UZB-427,Dungan
UZB-431,Dungan
YY-2,Adygei
YY-18,Adygei
YY-36,Adygei
SA1004,Khomani
SA063,Khomani
SA010,Khomani
SA064,Khomani
SA073,Khomani
SA1025,Khomani
SA078,Khomani
SA083,Khomani
Yuk_009,Yukagir_Tundra
Yuk_025,Yukagir_Tundra
Yuk_022,Yukagir_Tundra
Yuk_020,Yukagir_Tundra
MC_40,Chukchi
Yuk_024,Yukagir_Tundra
Nesk_25,Eskimo_Naukan
Yuk_023,Yukagir_Tundra
MC_16,Chukchi
MC_15,Chukchi
MC_18,Chukchi
Yuk_004,Yukagir_Tundra
MC_08,Chukchi
Nov_005,Nganasan
MC_25,Chukchi
Yuk_019,Yukagir_Tundra
Yuk_011,Yukagir_Tundra
Nesk_22,Eskimo_Naukan
Sesk_47,Chukchi1
MC_17,Chukchi
Nesk_15,Eskimo_Naukan
Yuk_021,Yukagir_Tundra
MC_06,Chukchi
MC_38,Chukchi
MC_14,Chukchi
Nesk_23,Eskimo_Naukan
Ul5,Ulchi
Ul31,Ulchi
Ul65,Ulchi
Tuba12,Tubalar
Tuba20,Tubalar
